Longitude(deg),Latitude(deg),Depth(km),dVp(%),HitQuality
158.66402,-50.525075,60,-2.70059E-15,0
158.71,-50.303789,60,-3.98119E-15,0
158.75557,-50.082383,60,-8.20242E-15,0
158.80075,-49.860861,60,-3.99246E-14,0
158.84553,-49.639225,60,-1.82632E-13,0
158.88993,-49.417481,60,-5.59588E-13,0
158.93394,-49.19563,60,-1.31469E-12,0
158.97758,-48.973678,60,-1.96186E-12,0
159.02085,-48.751626,60,3.87666E-13,0
159.06375,-48.52948,60,1.01453E-11,0
159.10629,-48.307243,60,2.94729E-11,0
159.14847,-48.084918,60,5.34582E-11,0
159.19031,-47.862509,60,6.52911E-11,0
159.2318,-47.64002,60,-6.60642E-13,0
159.27295,-47.417453,60,-1.37524E-10,0
159.31376,-47.194814,60,-2.40115E-10,0
159.35424,-46.972105,60,4.12783E-11,0
159.3944,-46.74933,60,1.01060E-09,0
159.43423,-46.526492,60,2.98072E-09,0
159.47375,-46.303596,60,7.04871E-09,0
159.51296,-46.080645,60,1.51638E-08,0
159.55185,-45.857642,60,2.91393E-08,0
159.59044,-45.634592,60,5.66946E-08,0
159.62873,-45.411497,60,1.05138E-07,0
159.66672,-45.188362,60,1.69269E-07,0
159.70442,-44.96519,60,2.30159E-07,0
159.74183,-44.741985,60,2.69665E-07,0
159.77896,-44.518749,60,2.83981E-07,0
159.8158,-44.295488,60,2.78015E-07,0
159.85237,-44.072204,60,2.56641E-07,0
159.88867,-43.848902,60,2.31028E-07,0
159.92469,-43.625584,60,2.22503E-07,0
159.96045,-43.402254,60,2.62887E-07,0
159.99594,-43.178917,60,3.53540E-07,0
160.03118,-42.955574,60,3.39365E-07,0
160.06615,-42.732232,60,-1.39726E-07,0
160.10088,-42.508892,60,-1.57371E-06,0
160.13536,-42.285558,60,-4.15043E-06,0
160.16958,-42.062234,60,-7.08576E-06,0
160.20357,-41.838924,60,-9.49951E-06,0
160.23731,-41.615631,60,-1.08052E-05,0
160.27082,-41.392359,60,-1.09589E-05,0
160.30409,-41.169111,60,-1.04768E-05,0
160.33714,-40.945891,60,-9.65306E-06,0
160.36995,-40.722702,60,-8.65390E-06,0
160.40253,-40.499548,60,-7.63371E-06,0
160.4349,-40.276433,60,-6.94502E-06,0
160.46704,-40.05336,60,-6.29298E-06,0
160.49897,-39.830332,60,-4.83198E-06,0
160.53068,-39.607354,60,-3.79057E-06,0
160.56218,-39.384429,60,-2.97588E-06,0
160.59347,-39.161559,60,-2.17682E-06,0
160.62455,-38.93875,60,-1.56150E-06,0
160.65543,-38.716004,60,-1.03805E-06,0
160.6861,-38.493324,60,-6.91289E-07,0
160.71658,-38.270715,60,-4.50963E-07,0
160.74686,-38.04818,60,-2.89171E-07,0
160.77694,-37.825722,60,-1.86228E-07,0
160.80683,-37.603344,60,-1.26420E-07,0
160.83653,-37.381051,60,-9.69599E-08,0
160.86605,-37.158845,60,-8.04328E-08,0
160.89537,-36.936731,60,-6.80690E-08,0
160.92452,-36.714711,60,-5.65468E-08,0
160.95348,-36.492789,60,-4.45922E-08,0
160.98226,-36.270969,60,-3.24665E-08,0
161.01086,-36.049253,60,-2.19435E-08,0
161.03929,-35.827645,60,-1.44748E-08,0
161.06755,-35.606149,60,-1.29864E-08,0
161.09563,-35.384768,60,-1.27926E-08,0
159.0122,-50.55397,60,2.71849E-14,0
159.05675,-50.332563,60,-1.64581E-14,0
159.1009,-50.111037,60,-3.43312E-14,0
159.14467,-49.889395,60,-8.50737E-14,0
159.18805,-49.667642,60,-3.09311E-13,0
159.23106,-49.44578,60,-9.31036E-13,0
159.2737,-49.223813,60,-2.26245E-12,0
159.31597,-49.001746,60,-3.72914E-12,0
159.35789,-48.77958,60,-3.31843E-13,0
159.39944,-48.557321,60,1.65822E-11,0
159.44065,-48.334971,60,5.25610E-11,0
159.48152,-48.112535,60,1.03542E-10,0
159.52204,-47.890016,60,1.42860E-10,0
159.56223,-47.667416,60,8.53157E-11,0
159.60209,-47.444741,60,-7.00007E-11,0
159.64163,-47.221994,60,-1.04095E-10,0
159.68084,-46.999178,60,3.20025E-10,0
159.71973,-46.776297,60,1.71958E-09,0
159.75832,-46.553354,60,5.29650E-09,0
159.79659,-46.330354,60,1.16037E-08,0
159.83457,-46.107299,60,2.35838E-08,0
159.87224,-45.884193,60,4.67714E-08,0
159.90961,-45.661041,60,9.05051E-08,0
159.9467,-45.437845,60,1.54502E-07,0
159.9835,-45.214609,60,2.15367E-07,0
160.02001,-44.991338,60,2.43249E-07,0
160.05624,-44.768033,60,2.32488E-07,0
160.0922,-44.5447,60,2.06159E-07,0
160.12789,-44.321341,60,1.95272E-07,0
160.1633,-44.09796,60,2.17163E-07,0
160.19845,-43.874562,60,2.80006E-07,0
160.23334,-43.651148,60,3.93074E-07,0
160.26797,-43.427724,60,5.55170E-07,0
160.30234,-43.204293,60,7.34956E-07,0
160.33647,-42.980857,60,7.39065E-07,0
160.37034,-42.757422,60,9.56934E-09,0
160.40397,-42.53399,60,-2.10489E-06,0
160.43736,-42.310565,60,-4.97207E-06,0
160.4705,-42.087151,60,-6.71969E-06,0
160.50341,-41.86375,60,-6.43401E-06,0
160.53609,-41.640368,60,-5.10373E-06,0
160.56854,-41.417007,60,-4.38105E-06,0
160.60076,-41.193671,60,-4.50633E-06,0
160.63276,-40.970363,60,-4.93755E-06,0
160.66453,-40.747087,60,-5.49872E-06,0
160.69609,-40.523847,60,-6.23858E-06,0
160.72742,-40.300646,60,-6.93047E-06,0
160.75855,-40.077488,60,-7.01722E-06,0
160.78947,-39.854376,60,-5.85582E-06,0
160.82017,-39.631314,60,-5.30988E-06,0
160.85067,-39.408305,60,-4.48665E-06,0
160.88097,-39.185353,60,-3.39040E-06,0
160.91107,-38.962461,60,-2.43120E-06,0
160.94097,-38.739633,60,-1.65785E-06,0
160.97067,-38.516872,60,-1.10747E-06,0
161.00018,-38.294182,60,-7.20959E-07,0
161.0295,-38.071566,60,-4.64945E-07,0
161.05862,-37.849028,60,-3.09081E-07,0
161.08757,-37.626572,60,-2.21507E-07,0
161.11632,-37.404199,60,-1.73937E-07,0
161.1449,-37.181916,60,-1.41136E-07,0
161.17329,-36.959723,60,-1.13499E-07,0
161.20151,-36.737626,60,-8.81290E-08,0
161.22955,-36.515627,60,-6.46466E-08,0
161.25742,-36.29373,60,-4.38093E-08,0
161.28511,-36.071939,60,-2.74422E-08,0
161.31264,-35.850256,60,-1.75186E-08,0
161.33999,-35.628685,60,-1.36079E-08,0
161.36718,-35.407229,60,-1.51818E-08,0
159.36078,-50.581932,60,1.56907E-13,0
159.40389,-50.360407,60,1.67543E-14,0
159.44661,-50.138765,60,-6.05235E-14,0
159.48896,-49.917008,60,-1.76923E-13,0
159.53095,-49.69514,60,-5.12702E-13,0
159.57256,-49.473164,60,-1.12042E-12,0
159.61382,-49.251085,60,-1.38221E-12,0
